AuthorName,BookTitle,AuthorEmail,AuthorNameSourceURL,BookTitleSourceURL,AuthorEmailSourceURL,AuthorWebsite,ContactPageURL,SubscribeURL,Location,IndieProofURL,ListingURL,RecencyProofURL
Susan Ee,Angelfall,,https://www.goodreads.com/book/show/15863832-angelfall,https://www.goodreads.com/book/show/15863832-angelfall,,http://www.susanee.com,http://www.susanee.com,,Unknown,https://www.goodreads.com/book/show/15863832-angelfall,http://www.amazon.com/Angelfall-Penryn-Days-Book-ebook/dp/B00522V6DQ,https://www.goodreads.com/book/show/15863832-angelfall
M.L. Wang,The Sword of Kaigen,,https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen,https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen,,http://mlwangbooks.com,http://mlwangbooks.com,,Unknown,https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen,https://www.amazon.com/Sword-Kaigen-Theonite-War-Story-ebook/dp/B07MNWKF2M/,https://www.goodreads.com/book/show/41886271-the-sword-of-kaigen
