AuthorName,BookTitle,AuthorEmail,AuthorNameSourceURL,BookTitleSourceURL,AuthorEmailSourceURL,AuthorEmailProofSnippet,AuthorWebsite,ContactPageURL,SubscribeURL,Location,SourceURL,SourceTitle,SourceSnippet,IndieProofURL,IndieProofSnippet,ListingURL,ListingStatus,ListingFailReason,RecencyProofURL,RecencyProofSnippet
R.M. Garino,Fantasy Author | R.M. Garino |,,https://www.epicindie.net/authordirectory,https://www.rmgarino.com,,,https://www.rmgarino.com,https://www.rmgarino.com/contact,https://www.rmgarino.com/about-the-newsletter,Unknown,https://www.epicindie.net/authordirectory,R.M. Garino,"R.M. Garino The Website of Indie Fantasy Author R.M. Garino; Creator of the Chaos Of Souls Series - Where Monsters, Magic, & Mayhem reign! Visit",https://www.epicindie.net/authordirectory,"R.M. Garino R.M. Garino The Website of Indie Fantasy Author R.M. Garino; Creator of the Chaos Of Souls Series - Where Monsters, Magic,",,missing,no_listing_candidate,https://www.rmgarino.com,Fantasy Author | R.M. Garino | top of page Gain access to our monthly fantasy ebook giveaways Join HOME ABOUT THE BIRTH OF THE CHAOS SERIES OVERVIEW OF THE SERIES THE NEWSLETTER CO
David Green,Writer | David Green Writer,,https://www.epicindie.net/authordirectory,https://www.davidgreenwriter.com,,,https://www.davidgreenwriter.com,https://www.davidgreenwriter.com,,Unknown,https://www.epicindie.net/authordirectory,David Green,David Green Website of indie fantasy author David Green. Visit,https://www.epicindie.net/authordirectory,David Green David Green Website of indie fantasy author David Green. Visit,https://www.amazon.com/gp/product/B0CPDFG6ZQ,verified,,https://www.davidgreenwriter.com,"N UP Sign up to david green's newsletter to stay up to date with all his current news and releases, and claim your free copy of his short story collection, 'Tales of Fire and Shadow' NOW!"
Lee C. Conley,Author | Lee C. Conley,,https://www.leeconleyauthor.com,https://www.leeconleyauthor.com,,,https://www.leeconleyauthor.com,https://www.leeconleyauthor.com,,Unknown,https://www.epicindie.net/authordirectory,Lee c. conley,Lee c. conley Website of indie fantasy author Lee C. Conley. Visit,https://www.epicindie.net/authordirectory,Lee c. conley Lee c. conley Website of indie fantasy author Lee C. Conley. Visit,,missing,no_listing_candidate,https://www.leeconleyauthor.com,Author | Lee C. Conley top of page -Author of Speculative Fiction- Lee C. Conley Home News and Events The Dead Sagas A Ritual of Bone A Ritual of Flesh Lore of The Dead Sagas other
