CandidateURL,SourceType,SourceQuery,SourceURL,SourceTitle,SourceSnippet,DiscoveredAtUTC
https://tomkranzbooks.com/,iabx_directory,iabx:author-directory,https://www.iabx.org/author-directory,Thomas Kranz,Author Directory | Independent Authors Book Experience (IABX) author directory listing for Thomas Kranz,2026-03-11T13:25:28Z
https://iankanebooks.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Ian Kane Books,Ian Kane Books Website of indie sci-fi author Ian Kane. Visit,2026-03-11T13:25:26Z
https://shelbyhild.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Shelby Hild,Shelby Hild The website of indie fantasy author Shelby Hild. Visit,2026-03-11T13:25:26Z
https://www.jaimieschock.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Jaimie N. Schock Author,Jaimie N. Schock Author Website of indie fantasy and sci-fi author Jaimie N. Schock Visit,2026-03-11T13:25:26Z
