CandidateURL,SourceType,SourceQuery,SourceURL,SourceTitle,SourceSnippet,DiscoveredAtUTC
https://www.leeconleyauthor.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Lee c. conley,Lee c. conley Website of indie fantasy author Lee C. Conley. Visit,2026-03-12T14:16:14Z
http://authordiannagunn.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Author Dianna Gunn,Author Dianna Gunn Website of indie fantasy author Dianna Gunn. Visit,2026-03-12T14:16:14Z
https://authorjackadkins.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Author Jack Adkins,Author Jack Adkins Website of indie fantasy author Jack Adkins Visit,2026-03-12T14:16:14Z
https://www.elizabethkleinauthor.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Elizabeth Klein,Elizabeth Klein Website of indie fantasy author Elizabeth Klein. Visit,2026-03-12T14:16:14Z
https://runesnielsen.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,RUNE S. NIELSEN,RUNE S. NIELSEN The website of indie fantasy author Rune S. Nielsen. Visit,2026-03-12T14:16:14Z
