CandidateURL,SourceType,SourceQuery,SourceURL,SourceTitle,SourceSnippet,DiscoveredAtUTC
https://www.Derricksmythe.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Derrick Smythe,Derrick Smythe Website of indie fantasy author Derrick Smythe. Visit,2026-03-12T13:22:27Z
https://www.kovakillian.com,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Kova killian,Kova killian Website of indie fantasy author Kova Killian Visit,2026-03-12T13:22:27Z
https://www.amycampbell.info,epic_directory,epic:author-directory,https://www.epicindie.net/authordirectory,Author Amy Campbell,Author Amy Campbell Website of indie fantasy author Amy Campbell. Visit,2026-03-12T13:22:27Z
